,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644373415642458,0.65831963181214,0.6392285984138428,0.0006804455218167901,0.65831963181214,0.0001632384916748286,0.0,0.6393782733165286,0.00018008265802269043,0.6556170331890331,0.2997060761750405,0.6424575976752905,0.0,0.2977819507389162,0.00018008265802269043,0.0,0.3263728113839286,0.6425146514414077,0.9026495307497895,0.29437139635157544,0.6561710638606676,0.6393255725308642,0.00018539098998887653,0.0,0.7777776666666667,0.3936654104046243,0.4202525856052345,0.657313828391734,0.00017182113402061856,0.0,0.7777776666666667,0.6178376586134454,0.8807155605381166,0.1849650294117647,0.41478029073856976,0.6581524323647294,0.0001984125,0.0,0.7777776666666667,0.6238945507328072,0.8546732469879519,0.322746488,0.2961333800978793
CASH_ADVANCE_FREQUENCY,0.13514420033519556,0.05357809658839167,0.10681006308579669,0.20217497167644807,0.05357809658839167,0.27269423996082276,0.12565745784418356,0.10669467590925459,0.2672120475418693,0.04921435401635401,0.21962065478119935,0.10166416835395575,0.11864641129032258,0.21429547947454844,0.26712200594273366,0.11864641129032258,0.05961116517857142,0.10159511755896666,0.04536603201347936,0.21649357711442785,0.04878781712626995,0.09620489429012347,0.26348490989988876,0.11603666102683781,0.0,0.32459397109826593,0.0796667677208288,0.049637566486972144,0.2653547494845361,0.12777114807566864,0.0,0.10661666228991598,0.08931239013452914,0.45302339215686266,0.06640169284876905,0.03979903056112224,0.2520375779761905,0.11400116776556779,0.0,0.09498449154453213,0.08835340361445783,0.359474748,0.2145511125611745
CASH_ADVANCE_TRX,3.2488268156424582,1.2671688081524146,2.832732516222062,4.684613421791274,1.2671688081524146,6.299706170421156,2.932230522945571,2.829672308246309,6.368989735278228,1.2380952380952381,3.9627228525121554,2.7491563554555682,2.84389400921659,3.857142857142857,6.369529983792544,2.84389400921659,1.6194196428571428,2.7484088356420817,1.0185341196293176,3.8640132669983416,1.204644412191582,2.4737654320987654,6.100111234705228,2.7578763127187864,0.0,12.427745664739884,1.6619411123227916,1.1585804132973945,5.963917525773196,2.893020221787345,0.0,2.710609243697479,3.116591928251121,15.259803921568627,1.4642438452520516,1.0195390781563127,5.966666666666667,2.718681318681319,0.0,2.6076662908680945,3.180722891566265,9.04,3.8890701468189235
PURCHASES_TRX,14.709832402234637,11.891448825875056,32.959625090122564,3.415156927787701,11.891448825875056,0.0014691478942213516,7.109925293489861,32.944544472452286,0.0016207455429497568,12.341991341991342,6.100486223662885,33.5920509936258,7.279377880184332,6.113300492610837,0.0016207455429497568,7.279377880184332,5.921875,33.564956944964436,17.128896377422073,6.061359867330016,12.322206095791001,31.95023148148148,0.0016685205784204673,7.275379229871645,19.0,41.52023121387283,32.403489640130864,11.340970350404312,0.0015463917525773195,4.405088062622309,19.0,21.09611344537815,125.73991031390135,8.205882352941176,33.407971864009376,11.814629258517034,0.0017857142857142857,4.2805860805860805,19.0,21.97012401352875,136.710843373494,16.564,6.068515497553018
CREDIT_LIMIT,4494.282472772402,3370.5863464058484,5738.829462614635,4260.500591523858,3370.5863464058484,4025.9875938623895,4515.920571779616,5737.311101653942,4137.772375292814,3488.2219258480036,2930.5024311183142,5809.453666776528,4614.553658706797,2903.6453201970444,4140.986853952998,4614.553658706797,3904.00235615067,5801.577285396106,3189.281611395956,2823.7479270315093,3430.920843656507,5615.224895560571,4002.0114942530586,4556.1030373745625,4333.333333333333,10733.841303208092,6404.359076038168,3297.130900196765,3762.972508591237,4168.387396469668,4333.333333333333,4913.767294796743,9154.035874439462,9368.382352941177,6274.5923478628365,3222.6269458106212,3542.986111111309,4056.8775668776557,4333.333333333333,4678.107626433483,9349.397590361446,10708.6,2824.0130505709626
PAYMENTS,1733.1438520248046,994.6011405919361,2545.4474183612115,1583.5038435243684,994.6011405919361,1653.6879076718901,1508.4569003164356,2543.4439188501983,1730.1353815278226,1039.4763737811447,772.4973251636952,2605.2002158852642,1568.7705518035714,761.4764396600985,1729.4680638816856,1568.7705518035714,1086.0437876607143,2597.1187975380008,1022.1295010320134,719.4538316069652,921.6369194015481,2110.6696304679785,1378.012734852614,1364.7240964754963,690.8747043333333,16665.034669653178,2349.234654452563,926.784927319407,1418.5767439304125,1315.5604668147423,690.8747043333333,1735.2405546838233,7894.05623851121,7153.077397083334,2416.2048723763187,925.0264640776554,1582.0377793303571,1359.7458356886448,690.8747043333333,1828.495341003946,9891.547137138554,3424.704412606,799.6948973474714
MINIMUM_PAYMENTS,844.9067666256983,846.5946591417811,838.4995891423936,848.4699043980607,846.5946591417811,978.35189493095,708.3023836691568,837.59387078574,1039.616789756348,888.1463987739298,407.69722918962725,850.4234980086238,732.4307953980415,387.78628037110013,1039.90201413074,732.4307953980415,681.9301166953126,849.7468206593036,1051.9899621288964,391.2647325688226,886.8122892539913,792.5820052299383,1032.4827736006675,720.9252070857643,0.10629699999999999,2002.8856494046245,551.0641310272628,808.1839526334231,953.3612406314434,712.5458584148729,0.10629699999999999,766.1866553293069,2100.393565789238,1904.4666225588235,486.0440049542791,754.4795852680362,826.9159280672619,623.1855799010989,0.10629699999999999,689.2661705197294,2153.5702799638557,3154.777203314,397.8334806476346
PRC_FULL_PAYMENT,0.15371464849162012,0.2533676911829863,0.18794514059120404,0.07209374968104107,0.2533676911829863,0.044367345739471105,0.1024211766275347,0.18774210298883687,0.041958071312803887,0.2467399268879269,0.1627408573743922,0.18838549156355455,0.10499665380184334,0.16890687027914614,0.041777988654781203,0.10499665380184334,0.20892709933035716,0.18794291838262825,0.27302641617523166,0.16853694029850746,0.2457893328495404,0.1831190451388889,0.03686218576195773,0.10406664119019837,0.0,0.2703975722543353,0.290516066521265,0.2554170961365678,0.04308393092783505,0.0674776960208741,0.0,0.1465801029411765,0.26671422421524665,0.07447300490196078,0.3098902966002344,0.25611125601202406,0.04552508392857143,0.07177107399267399,0.0,0.15339779819616686,0.2949890421686747,0.004490900000000001,0.16708096574225123
TENURE,11.51731843575419,11.469206911829863,11.735039653929343,11.390916050012759,11.469206911829863,11.317825661116553,11.469583778014941,11.73532589124955,11.764991896272285,11.853775853775854,7.074554294975689,11.913385826771654,11.820852534562212,7.050903119868637,11.763371150729336,11.820852534562212,11.866071428571429,11.911269187570198,11.83150800336984,7.041459369817579,11.844218674407353,11.904320987654321,11.762513904338153,11.820303383897317,12.0,11.855491329479769,11.715376226826608,11.473495058400719,11.344845360824742,11.435746901500327,12.0,11.744222689075631,11.959641255605382,10.75,11.909730363423213,11.851703406813627,11.76607142857143,11.805128205128206,12.0,11.887260428410372,11.975903614457831,11.868,7.076672104404568
Monthly_avg_purchase,86.17517288410845,46.955875491736144,192.68517178661682,33.37068634647794,46.955875491736144,0.0,69.68895755523677,192.5427727293512,0.0,46.70148582992017,64.9650522561807,193.91980801074106,67.34322757238282,66.08028191544817,0.0,67.34322757238282,32.40106520562771,193.32343355305204,57.89285350982446,64.78297865829582,46.12370377700566,169.02163942667414,0.0,64.29838573011327,60.871111111111105,510.81982431248906,194.1844472132133,45.7206121346957,0.0,54.9525222335648,60.871111111111105,121.19991663597257,712.9968227243608,84.50398993435759,194.0028631094059,44.94548816319508,0.0,49.379469863469865,60.871111111111105,122.2677590903397,848.8565894487039,100.65257225252525,65.8190642883037
